#Measurements of the TE power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
WMAP_2013          ,          ,     111.0 ,           ,     -31.9600 ,       6.4300 ,       6.4300 ,             
WMAP_2013          ,          ,     125.0 ,           ,     -41.6100 ,       6.9700 ,       6.9700 ,             
WMAP_2013          ,          ,     140.0 ,           ,     -49.9200 ,       8.0700 ,       8.0700 ,             
WMAP_2013          ,          ,     155.5 ,           ,     -35.9000 ,       8.9300 ,       8.9300 ,             
WMAP_2013          ,          ,     172.5 ,           ,     -55.3500 ,       9.6000 ,       9.6000 ,             
WMAP_2013          ,          ,     191.0 ,           ,     -38.6800 ,      10.5700 ,      10.5700 ,             
WMAP_2013          ,          ,     210.5 ,           ,       1.0600 ,      11.5200 ,      11.5200 ,             
WMAP_2013          ,          ,     231.0 ,           ,      20.6700 ,      12.4000 ,      12.4000 ,             
WMAP_2013          ,          ,     253.5 ,           ,      58.9800 ,      12.5900 ,      12.5900 ,             
WMAP_2013          ,          ,     278.0 ,           ,      98.7400 ,      13.0800 ,      13.0800 ,             
WMAP_2013          ,          ,     304.0 ,           ,     103.6000 ,      12.9600 ,      12.9600 ,             
WMAP_2013          ,          ,     332.5 ,           ,     111.4000 ,      12.3500 ,      12.3500 ,             
WMAP_2013          ,          ,     363.5 ,           ,      67.5900 ,      12.0300 ,      12.0300 ,             
WMAP_2013          ,          ,     397.5 ,           ,       2.1100 ,      12.2300 ,      12.2300 ,             
WMAP_2013          ,          ,     436.0 ,           ,     -80.4600 ,      14.0600 ,      14.0600 ,             
WMAP_2013          ,          ,     479.5 ,           ,     -56.3900 ,      17.8200 ,      17.8200 ,             
WMAP_2013          ,          ,     529.0 ,           ,     -55.5100 ,      23.1700 ,      23.1700 ,             
WMAP_2013          ,          ,     587.5 ,           ,      41.8700 ,      28.0800 ,      28.0800 ,             
WMAP_2013          ,          ,     659.0 ,           ,    -103.2500 ,      37.0500 ,      37.0500 ,             
WMAP_2013          ,          ,     749.5 ,           ,    -130.9100 ,      59.5100 ,      59.5100 ,             
WMAP_2013          ,          ,     850.5 ,           ,      85.7200 ,     113.8000 ,     113.8000 ,             
WMAP_2013          ,          ,     950.5 ,           ,      88.4900 ,     206.3200 ,     206.3200 ,             
