# Theory BB lensing spectra (r=0) with Planck 2018 best-fit parameters from plikHM_TTTEEE_lowl_lowE_lensing LCDM chain
# l	l(l+1)Cl^BB/2pi [uK^2]
937	9.966375e-02
938	9.961458e-02
939	9.956512e-02
940	9.951541e-02
941	9.946548e-02
942	9.941534e-02
943	9.936504e-02
944	9.931460e-02
945	9.926404e-02
946	9.921340e-02
947	9.916271e-02
948	9.911198e-02
949	9.906125e-02
950	9.901055e-02
951	9.895990e-02
952	9.890933e-02
953	9.885887e-02
954	9.880855e-02
955	9.875839e-02
956	9.870842e-02
957	9.865867e-02
958	9.860916e-02
959	9.855991e-02
960	9.851097e-02
961	9.846234e-02
962	9.841406e-02
963	9.836615e-02
964	9.831864e-02
965	9.827155e-02
966	9.822490e-02
967	9.817872e-02
968	9.813304e-02
969	9.808786e-02
970	9.804323e-02
971	9.799915e-02
972	9.795566e-02
973	9.791276e-02
974	9.787049e-02
975	9.782886e-02
976	9.778789e-02
977	9.774761e-02
978	9.770803e-02
979	9.766916e-02
980	9.763103e-02
981	9.759365e-02
982	9.755705e-02
983	9.752123e-02
984	9.748621e-02
985	9.745201e-02
986	9.741863e-02
987	9.738611e-02
988	9.735444e-02
989	9.732364e-02
990	9.729373e-02
991	9.726471e-02
992	9.723659e-02
993	9.720940e-02
994	9.718313e-02
995	9.715779e-02
996	9.713340e-02
997	9.710997e-02
998	9.708749e-02
999	9.706599e-02
1000	9.704546e-02
1001	9.702592e-02
1002	9.700736e-02
1003	9.698979e-02
1004	9.697323e-02
1005	9.695767e-02
1006	9.694311e-02
1007	9.692957e-02
1008	9.691704e-02
1009	9.690553e-02
1010	9.689503e-02
1011	9.688555e-02
1012	9.687710e-02
1013	9.686967e-02
1014	9.686325e-02
1015	9.685786e-02
1016	9.685349e-02
1017	9.685014e-02
1018	9.684781e-02
1019	9.684649e-02
1020	9.684619e-02
1021	9.684690e-02
1022	9.684861e-02
1023	9.685132e-02
1024	9.685504e-02
1025	9.685974e-02
1026	9.686544e-02
1027	9.687212e-02
1028	9.687977e-02
1029	9.688839e-02
1030	9.689797e-02
1031	9.690851e-02
1032	9.691999e-02
1033	9.693241e-02
1034	9.694576e-02
1035	9.696002e-02
1036	9.697519e-02
1037	9.699126e-02
1038	9.700822e-02
1039	9.702605e-02
1040	9.704474e-02
1041	9.706428e-02
1042	9.708466e-02
1043	9.710586e-02
1044	9.712787e-02
1045	9.715068e-02
1046	9.717427e-02
1047	9.719862e-02
1048	9.722372e-02
1049	9.724955e-02
1050	9.727610e-02
1051	9.730334e-02
1052	9.733127e-02
1053	9.735986e-02
1054	9.738910e-02
1055	9.741896e-02
1056	9.744943e-02
1057	9.748049e-02
1058	9.751212e-02
1059	9.754430e-02
1060	9.757700e-02
1061	9.761022e-02
1062	9.764392e-02
1063	9.767808e-02
1064	9.771269e-02
1065	9.774773e-02
1066	9.778316e-02
1067	9.781898e-02
1068	9.785515e-02
1069	9.789165e-02
1070	9.792847e-02
1071	9.796558e-02
1072	9.800295e-02
1073	9.804057e-02
1074	9.807841e-02
1075	9.811645e-02
1076	9.815466e-02
1077	9.819302e-02
1078	9.823152e-02
1079	9.827011e-02
1080	9.830879e-02
1081	9.834753e-02
1082	9.838631e-02
1083	9.842510e-02
1084	9.846388e-02
1085	9.850262e-02
1086	9.854131e-02
1087	9.857992e-02
1088	9.861843e-02
1089	9.865682e-02
1090	9.869505e-02
1091	9.873312e-02
1092	9.877100e-02
1093	9.880866e-02
1094	9.884608e-02
1095	9.888325e-02
1096	9.892013e-02
1097	9.895671e-02
1098	9.899297e-02
1099	9.902888e-02
1100	9.906443e-02
1101	9.909958e-02
1102	9.913433e-02
1103	9.916865e-02
1104	9.920251e-02
1105	9.923590e-02
1106	9.926880e-02
1107	9.930119e-02
1108	9.933304e-02
1109	9.936434e-02
1110	9.939507e-02
1111	9.942521e-02
1112	9.945473e-02
1113	9.948362e-02
1114	9.951187e-02
1115	9.953944e-02
1116	9.956632e-02
1117	9.959250e-02
1118	9.961796e-02
1119	9.964267e-02
1120	9.966663e-02
1121	9.968981e-02
1122	9.971219e-02
1123	9.973376e-02
1124	9.975451e-02
1125	9.977441e-02
1126	9.979345e-02
1127	9.981161e-02
1128	9.982888e-02
1129	9.984525e-02
1130	9.986070e-02
1131	9.987521e-02
1132	9.988877e-02
1133	9.990137e-02
1134	9.991299e-02
1135	9.992362e-02
1136	9.993325e-02
1137	9.994187e-02
1138	9.994946e-02
1139	9.995601e-02
1140	9.996152e-02
1141	9.996596e-02
1142	9.996934e-02
1143	9.997164e-02
1144	9.997286e-02
1145	9.997297e-02
1146	9.997199e-02
1147	9.996989e-02
1148	9.996667e-02
1149	9.996233e-02
1150	9.995686e-02
1151	9.995025e-02
1152	9.994250e-02
1153	9.993360e-02
1154	9.992354e-02
1155	9.991234e-02
1156	9.989997e-02
1157	9.988645e-02
1158	9.987176e-02
1159	9.985590e-02
1160	9.983888e-02
1161	9.982069e-02
1162	9.980133e-02
1163	9.978081e-02
1164	9.975912e-02
1165	9.973626e-02
1166	9.971224e-02
1167	9.968706e-02
1168	9.966072e-02
1169	9.963322e-02
1170	9.960457e-02
1171	9.957476e-02
1172	9.954382e-02
1173	9.951173e-02
1174	9.947851e-02
1175	9.944415e-02
1176	9.940867e-02
1177	9.937208e-02
1178	9.933437e-02
1179	9.929555e-02
1180	9.925564e-02
1181	9.921464e-02
1182	9.917255e-02
1183	9.912940e-02
1184	9.908517e-02
1185	9.903989e-02
1186	9.899357e-02
1187	9.894620e-02
1188	9.889781e-02
1189	9.884840e-02
1190	9.879799e-02
1191	9.874658e-02
1192	9.869418e-02
1193	9.864081e-02
1194	9.858648e-02
1195	9.853120e-02
1196	9.847498e-02
1197	9.841784e-02
1198	9.835978e-02
1199	9.830082e-02
1200	9.824098e-02
1201	9.818027e-02
1202	9.811870e-02
1203	9.805628e-02
1204	9.799303e-02
1205	9.792897e-02
1206	9.786411e-02
1207	9.779846e-02
1208	9.773204e-02
1209	9.766487e-02
1210	9.759696e-02
1211	9.752832e-02
1212	9.745898e-02
1213	9.738895e-02
1214	9.731824e-02
1215	9.724688e-02
1216	9.717488e-02
1217	9.710226e-02
1218	9.702904e-02
1219	9.695522e-02
1220	9.688084e-02
1221	9.680591e-02
1222	9.673045e-02
1223	9.665447e-02
1224	9.657800e-02
1225	9.650105e-02
1226	9.642365e-02
1227	9.634580e-02
1228	9.626754e-02
1229	9.618888e-02
1230	9.610983e-02
1231	9.603043e-02
1232	9.595068e-02
1233	9.587062e-02
1234	9.579025e-02
1235	9.570959e-02
1236	9.562868e-02
1237	9.554752e-02
1238	9.546614e-02
1239	9.538455e-02
1240	9.530278e-02
1241	9.522085e-02
1242	9.513877e-02
1243	9.505657e-02
1244	9.497426e-02
1245	9.489186e-02
1246	9.480940e-02
1247	9.472689e-02
1248	9.464435e-02
1249	9.456180e-02
1250	9.447926e-02
1251	9.439675e-02
1252	9.431429e-02
1253	9.423189e-02
1254	9.414957e-02
1255	9.406736e-02
1256	9.398526e-02
1257	9.390330e-02
1258	9.382150e-02
1259	9.373986e-02
1260	9.365842e-02
1261	9.357718e-02
1262	9.349616e-02
1263	9.341538e-02
1264	9.333486e-02
1265	9.325460e-02
1266	9.317463e-02
1267	9.309497e-02
1268	9.301561e-02
1269	9.293659e-02
1270	9.285792e-02
1271	9.277961e-02
1272	9.270167e-02
1273	9.262412e-02
1274	9.254697e-02
1275	9.247024e-02
1276	9.239393e-02
1277	9.231807e-02
1278	9.224266e-02
1279	9.216771e-02
1280	9.209325e-02
1281	9.201927e-02
1282	9.194580e-02
1283	9.187283e-02
1284	9.180039e-02
1285	9.172849e-02
1286	9.165713e-02
1287	9.158632e-02
1288	9.151608e-02
1289	9.144642e-02
1290	9.137733e-02
1291	9.130884e-02
1292	9.124095e-02
1293	9.117367e-02
1294	9.110701e-02
1295	9.104097e-02
1296	9.097556e-02
1297	9.091080e-02
1298	9.084668e-02
1299	9.078322e-02
1300	9.072041e-02
1301	9.065827e-02
1302	9.059681e-02
1303	9.053602e-02
1304	9.047591e-02
1305	9.041649e-02
1306	9.035777e-02
1307	9.029973e-02
1308	9.024240e-02
1309	9.018577e-02
1310	9.012985e-02
1311	9.007463e-02
1312	9.002012e-02
1313	8.996633e-02
1314	8.991325e-02
1315	8.986089e-02
1316	8.980924e-02
1317	8.975831e-02
1318	8.970810e-02
1319	8.965860e-02
1320	8.960982e-02
1321	8.956176e-02
1322	8.951441e-02
1323	8.946777e-02
1324	8.942184e-02
1325	8.937662e-02
1326	8.933210e-02
1327	8.928829e-02
1328	8.924518e-02
1329	8.920276e-02
1330	8.916103e-02
