#Measurements of the EE power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
Planck_2018        ,          ,     584.8 ,           ,      14.9930 ,       0.3590 ,       0.3590 ,             
Planck_2018        ,          ,     614.7 ,           ,      24.1160 ,       0.4590 ,       0.4590 ,             
Planck_2018        ,          ,     644.7 ,           ,      32.0540 ,       0.5530 ,       0.5530 ,             
Planck_2018        ,          ,     674.7 ,           ,      36.4400 ,       0.6160 ,       0.6160 ,             
Planck_2018        ,          ,     704.7 ,           ,      37.7720 ,       0.6360 ,       0.6360 ,             
Planck_2018        ,          ,     734.7 ,           ,      30.7770 ,       0.6210 ,       0.6210 ,             
Planck_2018        ,          ,     764.7 ,           ,      24.0030 ,       0.5920 ,       0.5920 ,             
Planck_2018        ,          ,     794.7 ,           ,      17.6380 ,       0.5770 ,       0.5770 ,             
Planck_2018        ,          ,     824.7 ,           ,      12.6770 ,       0.5940 ,       0.5940 ,             
Planck_2018        ,          ,     854.7 ,           ,      14.3670 ,       0.6510 ,       0.6510 ,             
Planck_2018        ,          ,     884.7 ,           ,      20.8270 ,       0.7450 ,       0.7450 ,             
Planck_2018        ,          ,     914.7 ,           ,      28.2750 ,       0.8620 ,       0.8620 ,             
Planck_2018        ,          ,     944.7 ,           ,      37.4780 ,       0.9820 ,       0.9820 ,             
Planck_2018        ,          ,     974.7 ,           ,      39.8530 ,       1.0850 ,       1.0850 ,             
Planck_2018        ,          ,    1004.6 ,           ,      42.4210 ,       1.2880 ,       1.2880 ,             
Planck_2018        ,          ,    1034.6 ,           ,      38.9170 ,       1.4040 ,       1.4040 ,             
Planck_2018        ,          ,    1064.6 ,           ,      31.6980 ,       1.4530 ,       1.4530 ,             
Planck_2018        ,          ,    1094.6 ,           ,      21.5900 ,       1.5120 ,       1.5120 ,             
Planck_2018        ,          ,    1124.6 ,           ,      15.3430 ,       1.5960 ,       1.5960 ,             
Planck_2018        ,          ,    1154.6 ,           ,      11.3120 ,       1.7140 ,       1.7140 ,             
Planck_2018        ,          ,    1184.6 ,           ,      14.0280 ,       1.8670 ,       1.8670 ,             
Planck_2018        ,          ,    1214.6 ,           ,      20.1240 ,       2.0470 ,       2.0470 ,             
Planck_2018        ,          ,    1244.6 ,           ,      27.7050 ,       2.2440 ,       2.2440 ,             
Planck_2018        ,          ,    1274.6 ,           ,      29.5960 ,       2.4470 ,       2.4470 ,             
Planck_2018        ,          ,    1304.6 ,           ,      31.9980 ,       2.6500 ,       2.6500 ,             
Planck_2018        ,          ,    1334.6 ,           ,      28.6430 ,       2.8530 ,       2.8530 ,             
Planck_2018        ,          ,    1364.6 ,           ,      21.2240 ,       3.0640 ,       3.0640 ,             
Planck_2018        ,          ,    1394.6 ,           ,      19.0950 ,       3.2920 ,       3.2920 ,             
Planck_2018        ,          ,    1424.6 ,           ,      15.1790 ,       3.5490 ,       3.5490 ,             
Planck_2018        ,          ,    1454.6 ,           ,      10.8570 ,       3.8420 ,       3.8420 ,             
Planck_2018        ,          ,    1484.6 ,           ,      14.2550 ,       4.1760 ,       4.1760 ,             
Planck_2018        ,          ,    1514.6 ,           ,      13.2650 ,       4.5500 ,       4.5500 ,             
Planck_2018        ,          ,    1544.6 ,           ,      22.2540 ,       4.9620 ,       4.9620 ,             
Planck_2018        ,          ,    1574.6 ,           ,       8.0420 ,       5.4070 ,       5.4070 ,             
Planck_2018        ,          ,    1604.6 ,           ,      27.5300 ,       5.8840 ,       5.8840 ,             
Planck_2018        ,          ,    1634.6 ,           ,      18.7060 ,       6.3960 ,       6.3960 ,             
Planck_2018        ,          ,    1664.6 ,           ,      28.8880 ,       6.9470 ,       6.9470 ,             
Planck_2018        ,          ,    1694.6 ,           ,      21.5490 ,       7.5460 ,       7.5460 ,             
Planck_2018        ,          ,    1724.6 ,           ,       5.1130 ,       8.2020 ,       8.2020 ,             
